{first_ts=73000, last_ts=74000, value=25.5, key=931}
{first_ts=74000, last_ts=75000, value=30.0, key=936}
{first_ts=75000, last_ts=76000, value=28.5, key=1107}
{first_ts=74000, last_ts=76000, value=18.0, key=1160}
{first_ts=76000, last_ts=77000, value=30.5, key=1173}
{first_ts=7000, last_ts=13000, value=14.571428571428571, key=154}
{first_ts=77000, last_ts=78000, value=29.5, key=1180}
{first_ts=77000, last_ts=78000, value=23.0, key=1016}
{first_ts=77000, last_ts=78000, value=25.5, key=1076}
{first_ts=16000, last_ts=18000, value=21.333333333333332, key=154}
{first_ts=17000, last_ts=23000, value=16.0, key=448}
{first_ts=23000, last_ts=24000, value=23.5, key=382}
{first_ts=26000, last_ts=27000, value=37.0, key=108}
{first_ts=29000, last_ts=30000, value=34.5, key=139}
{first_ts=26000, last_ts=31000, value=18.0, key=666}
{first_ts=28000, last_ts=31000, value=17.25, key=641}
{first_ts=23000, last_ts=33000, value=23.09090909090909, key=577}
{first_ts=35000, last_ts=36000, value=31.5, key=230}
{first_ts=34000, last_ts=37000, value=20.0, key=853}
{first_ts=37000, last_ts=38000, value=35.0, key=290}
{first_ts=35000, last_ts=38000, value=20.0, key=829}
{first_ts=39000, last_ts=40000, value=28.5, key=262}
{first_ts=39000, last_ts=40000, value=32.5, key=345}
{first_ts=17000, last_ts=40000, value=23.25, key=289}
{first_ts=33000, last_ts=41000, value=18.333333333333332, key=844}
{first_ts=40000, last_ts=42000, value=16.333333333333332, key=960}
{first_ts=41000, last_ts=42000, value=29.5, key=315}
{first_ts=41000, last_ts=42000, value=27.5, key=243}
{first_ts=41000, last_ts=42000, value=29.5, key=328}
{first_ts=42000, last_ts=43000, value=25.5, key=382}
{first_ts=45000, last_ts=46000, value=27.5, key=353}
{first_ts=45000, last_ts=46000, value=33.0, key=377}
{first_ts=44000, last_ts=47000, value=24.5, key=344}
{first_ts=47000, last_ts=48000, value=34.5, key=624}
{first_ts=49000, last_ts=50000, value=33.0, key=631}
{first_ts=48000, last_ts=50000, value=16.666666666666668, key=829}
{first_ts=50000, last_ts=51000, value=30.5, key=591}
{first_ts=51000, last_ts=52000, value=34.0, key=464}
{first_ts=51000, last_ts=52000, value=37.0, key=690}
{first_ts=52000, last_ts=53000, value=33.0, key=427}
{first_ts=11000, last_ts=53000, value=20.41860465116279, key=284}
{first_ts=53000, last_ts=54000, value=33.0, key=617}
{first_ts=53000, last_ts=54000, value=32.0, key=510}
{first_ts=54000, last_ts=55000, value=31.5, key=532}
{first_ts=54000, last_ts=55000, value=35.5, key=759}
{first_ts=55000, last_ts=56000, value=32.5, key=741}
{first_ts=48000, last_ts=56000, value=36.888888888888886, key=462}
{first_ts=56000, last_ts=57000, value=34.5, key=680}
{first_ts=57000, last_ts=58000, value=22.5, key=609}
{first_ts=59000, last_ts=60000, value=37.0, key=852}
{first_ts=61000, last_ts=62000, value=31.5, key=871}
{first_ts=63000, last_ts=64000, value=30.5, key=733}
{first_ts=64000, last_ts=65000, value=30.0, key=666}
{first_ts=63000, last_ts=65000, value=18.666666666666668, key=829}
{first_ts=57000, last_ts=65000, value=19.22222222222222, key=1084}
{first_ts=66000, last_ts=67000, value=30.0, key=694}
{first_ts=67000, last_ts=68000, value=25.0, key=752}
{first_ts=67000, last_ts=68000, value=16.5, key=1084}
{first_ts=68000, last_ts=69000, value=28.5, key=844}
{first_ts=68000, last_ts=69000, value=31.5, key=1025}
{first_ts=39000, last_ts=70000, value=23.53125, key=943}
{first_ts=57000, last_ts=70000, value=20.5, key=1287}
{first_ts=69000, last_ts=70000, value=29.5, key=1001}
{first_ts=30000, last_ts=70000, value=19.341463414634145, key=750}
{first_ts=70000, last_ts=71000, value=30.5, key=1021}
{first_ts=70000, last_ts=71000, value=37.0, key=1002}
{first_ts=71000, last_ts=72000, value=31.5, key=1102}
{first_ts=71000, last_ts=72000, value=27.0, key=750}
{first_ts=71000, last_ts=72000, value=32.5, key=1128}
{first_ts=72000, last_ts=73000, value=30.0, key=1066}
{first_ts=72000, last_ts=73000, value=33.5, key=1080}
{first_ts=72000, last_ts=74000, value=41.333333333333336, key=1002}
{first_ts=71000, last_ts=74000, value=30.25, key=943}
{first_ts=72000, last_ts=74000, value=33.333333333333336, key=1010}
{first_ts=74000, last_ts=75000, value=20.5, key=1172}
{first_ts=74000, last_ts=75000, value=33.0, key=1202}
{first_ts=75000, last_ts=76000, value=31.5, key=1116}
{first_ts=75000, last_ts=76000, value=30.5, key=1151}
{first_ts=76000, last_ts=77000, value=24.5, key=1709}
{first_ts=76000, last_ts=77000, value=18.5, key=1172}
{first_ts=77000, last_ts=78000, value=29.0, key=960}
{first_ts=77000, last_ts=78000, value=37.0, key=1258}
{first_ts=14000, last_ts=20000, value=15.0, key=391}
{first_ts=8000, last_ts=20000, value=15.76923076923077, key=167}
{first_ts=23000, last_ts=25000, value=19.333333333333332, key=347}
{first_ts=27000, last_ts=29000, value=20.0, key=622}
