SpeedDeltaInterval(start: 48000, end: 49000, value: 25.5, value description: avg, key: 471)
SpeedDeltaInterval(start: 41000, end: 43000, value: 31.5, value description: avg, key: 235)
SpeedDeltaInterval(start: 47000, end: 48000, value: 35.5, value description: avg, key: 467)
SpeedDeltaInterval(start: 36000, end: 47000, value: 23.0, value description: avg, key: 811)
SpeedDeltaInterval(start: 31000, end: 49000, value: 18.38888888888889, value description: avg, key: 831)
SpeedDeltaInterval(start: 48000, end: 49000, value: 28.5, value description: avg, key: 451)
SpeedDeltaInterval(start: 48000, end: 50000, value: 16.666666666666668, value description: avg, key: 829)
SpeedDeltaInterval(start: 46000, end: 47000, value: 27.5, value description: avg, key: 295)
SpeedDeltaInterval(start: 44000, end: 45000, value: 34.5, value description: avg, key: 494)
SpeedDeltaInterval(start: 47000, end: 48000, value: 32.5, value description: avg, key: 484)
SpeedDeltaInterval(start: 49000, end: 50000, value: 17.5, value description: avg, key: 868)
SpeedDeltaInterval(start: 33000, end: 41000, value: 18.333333333333332, value description: avg, key: 844)
SpeedDeltaInterval(start: 41000, end: 47000, value: 18.0, value description: avg, key: 318)
SpeedDeltaInterval(start: 9000, end: 43000, value: 18.735294117647058, value description: avg, key: 305)
SpeedDeltaInterval(start: 41000, end: 43000, value: 34.5, value description: avg, key: 486)
SpeedDeltaInterval(start: 43000, end: 44000, value: 37.0, value description: avg, key: 524)
SpeedDeltaInterval(start: 8000, end: 47000, value: 19.625, value description: avg, key: 203)
SpeedDeltaInterval(start: 48000, end: 49000, value: 32.5, value description: avg, key: 266)
SpeedDeltaInterval(start: 49000, end: 50000, value: 30.0, value description: avg, key: 301)
SpeedDeltaInterval(start: 48000, end: 49000, value: 29.5, value description: avg, key: 520)
SpeedDeltaInterval(start: 33000, end: 47000, value: 21.928571428571427, value description: avg, key: 511)
SpeedDeltaInterval(start: 43000, end: 44000, value: 31.5, value description: avg, key: 267)
SpeedDeltaInterval(start: 46000, end: 47000, value: 31.5, value description: avg, key: 526)
SpeedDeltaInterval(start: 49000, end: 50000, value: 28.5, value description: avg, key: 503)
SpeedDeltaInterval(start: 35000, end: 46000, value: 21.454545454545453, value description: avg, key: 557)
SpeedDeltaInterval(start: 40000, end: 42000, value: 16.333333333333332, value description: avg, key: 960)
SpeedDeltaInterval(start: 49000, end: 50000, value: 29.5, value description: avg, key: 531)
SpeedDeltaInterval(start: 45000, end: 50000, value: 26.833333333333332, value description: avg, key: 320)
SpeedDeltaInterval(start: 45000, end: 46000, value: 33.0, value description: avg, key: 518)
SpeedDeltaInterval(start: 41000, end: 43000, value: 29.5, value description: avg, key: 310)
SpeedDeltaInterval(start: 47000, end: 48000, value: 36.5, value description: avg, key: 546)
SpeedDeltaInterval(start: 48000, end: 49000, value: 30.5, value description: avg, key: 545)
SpeedDeltaInterval(start: 37000, end: 44000, value: 21.571428571428573, value description: avg, key: 538)
SpeedDeltaInterval(start: 48000, end: 49000, value: 32.0, value description: avg, key: 538)
SpeedDeltaInterval(start: 45000, end: 46000, value: 33.0, value description: avg, key: 544)
SpeedDeltaInterval(start: 40000, end: 41000, value: 20.5, value description: avg, key: 500)
SpeedDeltaInterval(start: 48000, end: 49000, value: 31.5, value description: avg, key: 540)
SpeedDeltaInterval(start: 41000, end: 44000, value: 23.333333333333332, value description: avg, key: 553)
SpeedDeltaInterval(start: 49000, end: 50000, value: 31.5, value description: avg, key: 553)
SpeedDeltaInterval(start: 44000, end: 45000, value: 32.5, value description: avg, key: 317)
SpeedDeltaInterval(start: 44000, end: 47000, value: 24.5, value description: avg, key: 344)
SpeedDeltaInterval(start: 45000, end: 47000, value: 20.333333333333332, value description: avg, key: 986)
SpeedDeltaInterval(start: 40000, end: 41000, value: 28.0, value description: avg, key: 144)
SpeedDeltaInterval(start: 11000, end: 44000, value: 20.65625, value description: avg, key: 327)
SpeedDeltaInterval(start: 43000, end: 50000, value: 18.5, value description: avg, key: 1048)
SpeedDeltaInterval(start: 46000, end: 47000, value: 21.5, value description: avg, key: 588)
SpeedDeltaInterval(start: 45000, end: 49000, value: 21.6, value description: avg, key: 1076)
SpeedDeltaInterval(start: 47000, end: 50000, value: 30.75, value description: avg, key: 347)
SpeedDeltaInterval(start: 9000, end: 41000, value: 23.21875, value description: avg, key: 213)
SpeedDeltaInterval(start: 48000, end: 49000, value: 31.5, value description: avg, key: 585)
SpeedDeltaInterval(start: 45000, end: 46000, value: 27.5, value description: avg, key: 353)
SpeedDeltaInterval(start: 41000, end: 43000, value: 22.5, value description: avg, key: 361)
SpeedDeltaInterval(start: 40000, end: 42000, value: 16.666666666666668, value description: avg, key: 636)
SpeedDeltaInterval(start: 49000, end: 50000, value: 31.5, value description: avg, key: 600)
SpeedDeltaInterval(start: 42000, end: 46000, value: 20.0, value description: avg, key: 622)
SpeedDeltaInterval(start: 55000, end: 56000, value: 28.5, value description: avg, key: 615)
SpeedDeltaInterval(start: 51000, end: 53000, value: 29.5, value description: avg, key: 625)
SpeedDeltaInterval(start: 56000, end: 57000, value: 34.5, value description: avg, key: 680)
SpeedDeltaInterval(start: 54000, end: 55000, value: 30.5, value description: avg, key: 342)
SpeedDeltaInterval(start: 54000, end: 55000, value: 31.0, value description: avg, key: 635)
SpeedDeltaInterval(start: 51000, end: 53000, value: 29.5, value description: avg, key: 616)
SpeedDeltaInterval(start: 57000, end: 58000, value: 22.5, value description: avg, key: 609)
SpeedDeltaInterval(start: 56000, end: 57000, value: 31.5, value description: avg, key: 637)
SpeedDeltaInterval(start: 51000, end: 53000, value: 29.5, value description: avg, key: 611)
SpeedDeltaInterval(start: 47000, end: 51000, value: 29.6, value description: avg, key: 257)
SpeedDeltaInterval(start: 51000, end: 53000, value: 22.5, value description: avg, key: 1162)
SpeedDeltaInterval(start: 57000, end: 58000, value: 29.5, value description: avg, key: 644)
SpeedDeltaInterval(start: 54000, end: 55000, value: 31.5, value description: avg, key: 668)
SpeedDeltaInterval(start: 51000, end: 56000, value: 17.8, value description: avg, key: 1229)
SpeedDeltaInterval(start: 51000, end: 55000, value: 22.75, value description: avg, key: 1206)
SpeedDeltaInterval(start: 51000, end: 53000, value: 37.0, value description: avg, key: 736)
SpeedDeltaInterval(start: 54000, end: 55000, value: 30.5, value description: avg, key: 695)
SpeedDeltaInterval(start: 53000, end: 54000, value: 31.5, value description: avg, key: 697)
SpeedDeltaInterval(start: 51000, end: 53000, value: 31.5, value description: avg, key: 688)
SpeedDeltaInterval(start: 56000, end: 57000, value: 28.5, value description: avg, key: 692)
SpeedDeltaInterval(start: 54000, end: 55000, value: 30.5, value description: avg, key: 698)
SpeedDeltaInterval(start: 56000, end: 57000, value: 20.5, value description: avg, key: 677)
SpeedDeltaInterval(start: 49000, end: 58000, value: 24.0, value description: avg, key: 700)
SpeedDeltaInterval(start: 46000, end: 57000, value: 20.727272727272727, value description: avg, key: 712)
SpeedDeltaInterval(start: 49000, end: 51000, value: 37.0, value description: avg, key: 371)
SpeedDeltaInterval(start: 57000, end: 59000, value: 18.333333333333332, value description: avg, key: 742)
SpeedDeltaInterval(start: 55000, end: 56000, value: 32.5, value description: avg, key: 741)
SpeedDeltaInterval(start: 58000, end: 59000, value: 30.5, value description: avg, key: 784)
SpeedDeltaInterval(start: 55000, end: 56000, value: 31.5, value description: avg, key: 743)
SpeedDeltaInterval(start: 56000, end: 57000, value: 34.5, value description: avg, key: 751)
SpeedDeltaInterval(start: 57000, end: 58000, value: 30.5, value description: avg, key: 761)
SpeedDeltaInterval(start: 54000, end: 55000, value: 35.5, value description: avg, key: 759)
SpeedDeltaInterval(start: 56000, end: 57000, value: 30.5, value description: avg, key: 735)
SpeedDeltaInterval(start: 55000, end: 56000, value: 33.0, value description: avg, key: 762)
SpeedDeltaInterval(start: 57000, end: 58000, value: 32.0, value description: avg, key: 774)
SpeedDeltaInterval(start: 51000, end: 53000, value: 21.5, value description: avg, key: 764)
SpeedDeltaInterval(start: 55000, end: 56000, value: 31.5, value description: avg, key: 477)
SpeedDeltaInterval(start: 56000, end: 57000, value: 23.5, value description: avg, key: 824)
SpeedDeltaInterval(start: 11000, end: 53000, value: 20.4390243902439, value description: avg, key: 284)
SpeedDeltaInterval(start: 50000, end: 51000, value: 27.5, value description: avg, key: 476)
SpeedDeltaInterval(start: 15000, end: 57000, value: 20.170731707317074, value description: avg, key: 457)
SpeedDeltaInterval(start: 54000, end: 55000, value: 37.0, value description: avg, key: 818)
SpeedDeltaInterval(start: 55000, end: 56000, value: 37.0, value description: avg, key: 848)
SpeedDeltaInterval(start: 51000, end: 53000, value: 18.5, value description: avg, key: 820)
SpeedDeltaInterval(start: 16000, end: 57000, value: 19.05128205128205, value description: avg, key: 434)
SpeedDeltaInterval(start: 50000, end: 51000, value: 31.0, value description: avg, key: 412)
SpeedDeltaInterval(start: 51000, end: 53000, value: 20.0, value description: avg, key: 777)
SpeedDeltaInterval(start: 48000, end: 56000, value: 36.5, value description: avg, key: 462)
SpeedDeltaInterval(start: 56000, end: 57000, value: 28.5, value description: avg, key: 490)
SpeedDeltaInterval(start: 49000, end: 51000, value: 19.0, value description: avg, key: 622)
SpeedDeltaInterval(start: 53000, end: 54000, value: 33.0, value description: avg, key: 599)
SpeedDeltaInterval(start: 53000, end: 54000, value: 25.5, value description: avg, key: 508)
SpeedDeltaInterval(start: 51000, end: 55000, value: 32.75, value description: avg, key: 436)
SpeedDeltaInterval(start: 51000, end: 53000, value: 55.5, value description: avg, key: 190)
SpeedDeltaInterval(start: 56000, end: 58000, value: 28.333333333333332, value description: avg, key: 542)
SpeedDeltaInterval(start: 54000, end: 55000, value: 28.5, value description: avg, key: 519)
SpeedDeltaInterval(start: 53000, end: 54000, value: 32.0, value description: avg, key: 510)
SpeedDeltaInterval(start: 51000, end: 53000, value: 31.5, value description: avg, key: 535)
SpeedDeltaInterval(start: 55000, end: 56000, value: 28.5, value description: avg, key: 424)
SpeedDeltaInterval(start: 51000, end: 53000, value: 29.5, value description: avg, key: 275)
